127.0.0.1 - - [16/Mar/2023:10:05:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:05:25 +0900] "GET /ajax/chap2/2-02.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:05:29 +0900] "GET /ajax/chap2/2-02currenttime.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:05:47 +0900] "GET /ajax/chap2/2-02.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:05:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:05:48 +0900] "GET /ajax/chap2/2-02currenttime.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:05:55 +0900] "GET /ajax/chap2/2-02currenttime.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:15 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:25 +0900] "GET /ajax/chap2/2-03.html HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:25 +0900] "GET /ajax/js/httpRequest.js HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:26 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:26 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:27 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:28 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:29 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:30 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:31 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:32 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:33 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:34 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:35 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:36 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:37 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:38 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:39 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:40 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:41 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:42 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:43 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:44 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:45 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:46 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:47 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:48 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:49 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:50 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:51 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:52 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:53 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:54 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:55 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:56 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:57 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:58 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:07:59 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:00 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:01 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:02 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:03 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:04 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:05 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:06 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:07 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:08 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:09 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:10 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:11 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:12 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:13 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:14 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:15 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:16 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:17 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:18 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:19 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:20 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:21 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:22 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:23 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:08:24 +0900] "GET /ajax/chap2/2-03currenttime.jsp HTTP/1.1" 200 19
